source_english,reference_german,seq2seq_attention_output,pretrained_transformer_output
"2 girls playing volleyball, one striking the ball.","Zwei Mädchen spielen Volleyball, wobei das eine den Ball schlägt.",<unk> mädchen spielen <unk> <unk> den ball .,"2 Mädchen spielen Volleyball, eine schlägt den Ball."
A man and woman are walking down a waterside path toward a suspension bridge.,Ein Mann und eine Frau gehen einen Uferweg entlang auf eine Hängebrücke zu.,"ein mann und eine frau gehen gehen einen <unk> entlang , die eine <unk> entlang .",Ein Mann und eine Frau gehen einen Wasserweg hinunter zu einer Hängebrücke.
Two man are paddling a kayak along a river with green trees on either side.,Zwei Männer paddeln in einem Kajak einen Fluss mit grünen Bäumen auf beiden Seiten entlang.,zwei mann mit einem einem mit einem fahrrad mit einem <unk> mit einem <unk> .,Zwei Mann paddeln ein Kajak entlang eines Flusses mit grünen Bäumen auf beiden Seiten.
Two people in full body solid color spandex suits sit in chairs in an audience.,Zwei Menschen in einfarbigen Ganzkörperanzügen aus Elasthan sitzen auf Stühlen in einem Publikum.,zwei personen in <unk> <unk> <unk> <unk> <unk> in einem <unk> in einem <unk> .,Zwei Personen in vollem Körper solide Farbe Spandex Anzüge sitzen in Stühlen in einem Publikum.
Two men are observing another as he puts the finishing touches on wet cement.,"Zwei Männer beobachten einen anderen, während dieser am nassen Zement letzte Hand anlegt.","zwei männer <unk> <unk> anderen <unk> , während sie <unk> <unk> .","Zwei Männer beobachten einen anderen, während er den letzten Schliff auf nassen Zement legt."
"An older, overweight man flips a pancake while making breakfast.","Ein älterer, übergewichtiger Mann wendet einen Pfannkuchen, während er Frühstück macht.","ein älterer , der mann mann mit <unk> <unk> <unk> <unk> <unk> <unk> .","Ein älterer, übergewichtiger Mann dreht einen Pfannkuchen beim Frühstück."
A Golden Labrador is swimming through water with a red toy in its mouth.,Ein Golden Labrador schwimmt mit einem roten Spielzeug im Maul durch das Wasser.,ein <unk> <unk> mit durch durch wasser mit einem roten .,Ein Golden Labrador schwamm durchs Wasser mit einem roten Spielzeug im Mund.
A group of kids sat around and played their instruments.,Eine Gruppe von Kindern saß herum und spielte auf ihren Instrumenten.,eine gruppe von kindern <unk> und <unk> <unk> .,Eine Gruppe von Kindern saß herum und spielte ihre Instrumente.
The street is crowded with many people with coats on.,"Die Straße ist voller Menschen, die Jacken tragen.",die straßenkünstler mit mit mit leuten mit mit graffitis .,Die Straße ist voll mit vielen Leuten mit Mänteln.
"A man with a brown shirt, gray vest and black cap plays an electric bass.","Ein Mann mit einem braunen Hemd, einer grauen Weste und einer schwarzen Mütze spielt E-Bass.",ein mann mit einem braunen hemd und ein mann und schwarzen schwarzen schwarzen spielt auf einer <unk> . .,"Ein Mann mit braunem Hemd, grauer Weste und schwarzer Mütze spielt einen elektrischen Bass."
